timestamp,open,high,low,close,volume
2019-12-27 10:45:00,158.6700,158.7300,158.6000,158.6500,159219
2019-12-27 10:40:00,158.7100,158.7600,158.6540,158.6600,150256
2019-12-27 10:35:00,158.7900,158.8500,158.6760,158.7000,161195
2019-12-27 10:30:00,158.8850,158.9400,158.7500,158.7880,190656
2019-12-27 10:25:00,158.7101,158.9269,158.6450,158.8855,192824
2019-12-27 10:20:00,158.8300,158.8500,158.6500,158.7100,183018
2019-12-27 10:15:00,158.4100,158.8600,158.3500,158.8300,352261
2019-12-27 10:10:00,158.3869,158.5100,158.3700,158.4000,326683
2019-12-27 10:05:00,158.2400,158.4900,158.2200,158.3800,208333
2019-12-27 10:00:00,158.7300,158.7400,158.2400,158.2500,299429
2019-12-27 09:55:00,158.7350,158.7800,158.7100,158.7500,270449
2019-12-27 09:50:00,158.9900,158.9900,158.7205,158.7386,312563
2019-12-27 09:45:00,158.9000,159.0400,158.9000,158.9675,359393
2019-12-27 09:40:00,159.1500,159.1500,158.8692,158.8692,386015
2019-12-27 09:35:00,159.4542,159.7046,159.1541,159.1742,1115499
2019-12-26 16:00:00,158.4500,158.7400,158.4100,158.6700,845490
2019-12-26 15:55:00,158.2900,158.4800,158.2800,158.4600,325359
2019-12-26 15:50:00,158.3800,158.4000,158.2850,158.3100,159327
2019-12-26 15:45:00,158.3400,158.3700,158.3000,158.3700,149577
2019-12-26 15:40:00,158.2962,158.3500,158.2800,158.3500,95195
2019-12-26 15:35:00,158.2650,158.2950,158.2350,158.2917,125805
2019-12-26 15:30:00,158.3330,158.3400,158.2600,158.2600,125535
2019-12-26 15:25:00,158.3400,158.3450,158.3000,158.3400,117813
2019-12-26 15:20:00,158.3200,158.3480,158.3100,158.3400,70930
2019-12-26 15:15:00,158.4200,158.4200,158.2700,158.3100,91606
2019-12-26 15:10:00,158.3500,158.4350,158.3400,158.4100,81364
2019-12-26 15:05:00,158.3762,158.3900,158.3400,158.3500,82089
2019-12-26 15:00:00,158.3800,158.3900,158.3520,158.3700,81282
2019-12-26 14:55:00,158.3629,158.3800,158.3600,158.3737,61707
2019-12-26 14:50:00,158.3350,158.3870,158.3200,158.3600,81042
2019-12-26 14:45:00,158.3500,158.3500,158.3100,158.3330,111531
2019-12-26 14:40:00,158.3300,158.3500,158.2900,158.3500,62425
2019-12-26 14:35:00,158.2700,158.3250,158.2680,158.3250,63392
2019-12-26 14:30:00,158.3400,158.3400,158.2500,158.2791,88063
2019-12-26 14:25:00,158.3750,158.3900,158.3199,158.3400,72394
2019-12-26 14:20:00,158.3900,158.3900,158.3400,158.3701,61464
2019-12-26 14:15:00,158.3800,158.3950,158.3650,158.3900,85585
