Date,Time,FTP,Open,Close,Volume,Bid
06-01-2020,14:01:29,1502.8,1520,1537.15,8462583,1502.4
06-01-2020,14:01:34,1502.8,1520,1537.15,8462673,1502.4
06-01-2020,14:01:40,1503,1520,1537.15,8463202,1502.4
06-01-2020,14:01:45,1502.95,1520,1537.15,8464346,1502.4
06-01-2020,14:01:50,1502.9,1520,1537.15,8464506,1502.4
06-01-2020,14:01:55,1503,1520,1537.15,8467458,1502.85
06-01-2020,14:02:00,1502.75,1520,1537.15,8468402,1502.85
06-01-2020,14:02:04,1502.8,1520,1537.15,8468574,1502.85
06-01-2020,14:02:08,1503,1520,1537.15,8469122,1502.85
06-01-2020,14:02:13,1502.9,1520,1537.15,8469599,1502.85
06-01-2020,14:02:17,1503,1520,1537.15,8470138,1502.85
06-01-2020,14:02:21,1503,1520,1537.15,8471460,1502.85
06-01-2020,14:02:24,1503,1520,1537.15,8472106,1502.85
06-01-2020,14:02:28,1502.5,1520,1537.15,8473783,1502.85
06-01-2020,14:02:32,1502.9,1520,1537.15,8474468,1502.85
06-01-2020,14:02:38,1502.7,1520,1537.15,8475460,1502.85
06-01-2020,14:02:41,1502.85,1520,1537.15,8476414,1502.85
06-01-2020,14:02:45,1502.75,1520,1537.15,8476506,1502.6
06-01-2020,14:02:50,1502.85,1520,1537.15,8477527,1502.6
06-01-2020,14:02:55,1502.9,1520,1537.15,8478050,1502.6
06-01-2020,14:03:00,1502.9,1520,1537.15,8478597,1502.6
06-01-2020,14:03:05,1502.8,1520,1537.15,8478887,1502.6
06-01-2020,14:03:09,1502.75,1520,1537.15,8479062,1502.6
06-01-2020,14:03:13,1502.75,1520,1537.15,8480562,1502.6
06-01-2020,14:03:19,1502.05,1520,1537.15,8489053,1502.6
06-01-2020,14:03:23,1502.4,1520,1537.15,8490200,1502.6
06-01-2020,14:03:29,1502.15,1520,1537.15,8490315,1502.15
06-01-2020,14:03:34,1502,1520,1537.15,8493582,1502.15
06-01-2020,14:03:38,1501.3,1520,1537.15,8496726,1502.15
06-01-2020,14:03:42,1500.15,1520,1537.15,8517158,1502.15
06-01-2020,14:03:46,1500,1520,1537.15,8544949,1502.15
06-01-2020,14:03:49,1500.3,1520,1537.15,8553220,1502.15
06-01-2020,14:03:53,1500.9,1520,1537.15,8557556,1502.15
06-01-2020,14:03:57,1500.75,1520,1537.15,8559225,1502.15
06-01-2020,14:04:01,1500.2,1520,1537.15,8560600,1502.15
06-01-2020,14:04:05,1500.3,1520,1537.15,8562419,1502.15
06-01-2020,14:04:09,1500.5,1520,1537.15,8564636,1502.15
06-01-2020,14:04:12,1500.8,1520,1537.15,8565859,1502.15
06-01-2020,14:04:16,1500.5,1520,1537.15,8569268,1500.4
06-01-2020,14:04:19,1501.4,1520,1537.15,8570471,1500.4
06-01-2020,14:04:24,1501.3,1520,1537.15,8572071,1500.4
06-01-2020,14:04:29,1500.4,1520,1537.15,8573718,1500.4
06-01-2020,14:04:33,1500.95,1520,1537.15,8574746,1500.4
06-01-2020,14:04:37,1500.4,1520,1537.15,8575624,1500.4
06-01-2020,14:04:42,1500.6,1520,1537.15,8576213,1500.4
06-01-2020,14:04:48,1500.85,1520,1537.15,8576704,1500.4
06-01-2020,14:04:52,1500.9,1520,1537.15,8577404,1500.4
06-01-2020,14:04:57,1501,1520,1537.15,8578091,1500.4
06-01-2020,14:05:02,1500.95,1520,1537.15,8578396,1500.4
06-01-2020,14:05:09,1501.2,1520,1537.15,8580083,1500.9
06-01-2020,14:05:14,1501.45,1520,1537.15,8581606,1500.9
